sigma_x_multiplier,sigma_y_multiplier,pcr_slope,attenuation_pct,loso_r2
0.25,0.25,-0.00026522170474953477,370.4550762640733,-0.07443168689236379
0.25,0.5,-0.0002501321744770435,398.8358558658012,-0.07467504210575382
0.25,0.75,-0.0002475262948936667,404.08744407712805,-0.07471815626095335
0.25,1.0,-0.0002466271569247445,405.9252147682325,-0.07473310546595635
0.25,1.25,-0.0002462132163669515,406.77579041438537,-0.07474000025362715
0.25,1.5,-0.000245988947838625,407.23781873600853,-0.0747437390714345
0.25,2.0,-0.0002457663627260761,407.69721271376886,-0.074747452114724
0.25,3.0,-0.0002456076225066461,408.0253457176539,-0.07475010152517791
0.5,0.25,-0.00035006502229396056,256.4334891763409,-0.07328342223573459
0.5,0.5,-0.00026522170474953477,370.4550762640733,-0.07443168689236379
0.5,0.75,-0.0002538750385190879,391.4815495949145,-0.07461367106334027
0.5,1.0,-0.0002501321744770435,398.8358558658012,-0.07467504210575382
0.5,1.25,-0.0002484372810497367,402.2390230951296,-0.07470304820264007
0.5,1.5,-0.0002475262948936667,404.08744407712805,-0.07471815626095335
0.5,2.0,-0.0002466271569247445,405.9252147682325,-0.07473310546595635
0.5,3.0,-0.000245988947838625,407.23781873600853,-0.0747437390714345
0.75,0.25,-0.0007671245146774591,62.652731007158714,-0.07300728980951221
0.75,0.5,-0.00029493617552180926,323.0572838820966,-0.07398534459531869
0.75,0.75,-0.0002652217047495347,370.4550762640734,-0.07443168689236379
0.75,1.0,-0.00025620328085242523,387.01522056893987,-0.07457582796680007
0.75,1.25,-0.00025223574026785565,394.67572360018545,-0.07464046949800918
0.75,1.5,-0.00025013217447704373,398.8358558658008,-0.07467504210575382
0.75,2.0,-0.00024807544118973215,402.9715829040894,-0.07470904445725135
0.75,3.0,-0.0002466271569247443,405.92521476823276,-0.07473310546595635
1.0,0.25,-0.009762566351575986,-87.21904744701814,-0.7578432813753933
1.0,0.5,-0.00035006502229396056,256.4334891763409,-0.07328342223573459
1.0,0.75,-0.00028294984865170816,340.9788445881774,-0.07415998234945542
1.0,1.0,-0.00026522170474953477,370.4550762640733,-0.07443168689236379
1.0,1.25,-0.00025775533763295477,384.08269051060415,-0.07455074372342141
1.0,1.5,-0.0002538750385190879,391.4815495949145,-0.07461367106334027
1.0,2.0,-0.0002501321744770435,398.8358558658012,-0.07467504210575382
1.0,3.0,-0.0002475262948936667,404.08744407712805,-0.07471815626095335
1.25,0.25,-0.024632969463159182,-94.93463841127875,-5.023861766912598
1.25,0.5,-0.0004620007963770214,170.07506981223003,-0.07242683800009764
1.25,0.75,-0.00030961388465663856,303.0016207871464,-0.07378185805343929
1.25,1.0,-0.000277807004384917,349.14237353766424,-0.07423718069430518
1.25,1.25,-0.00026522170474953456,370.45507626407374,-0.07443168689236357
1.25,1.5,-0.0002588570980374328,382.02231378173946,-0.07453300680196562
1.25,2.0,-0.0002528277752062516,393.51736466866106,-0.07463077663519879
1.25,3.0,-0.00024869211571440606,401.72437906362643,-0.07469882883632928
1.5,0.25,-0.04016927393046101,-96.89377264944261,-13.905013349610275
1.5,0.5,-0.0007671245146774591,62.652731007158714,-0.07300728980951221
1.5,0.75,-0.0003500650222939608,256.4334891763407,-0.07328342223573459
1.5,1.0,-0.00029493617552180926,323.0572838820966,-0.07398534459531869
1.5,1.25,-0.00027496421213723247,353.785954051925,-0.07428042729051332
1.5,1.5,-0.0002652217047495347,370.4550762640734,-0.07443168689236379
1.5,2.0,-0.00025620328085242523,387.01522056893987,-0.07457582796680007
1.5,3.0,-0.00025013217447704373,398.8358558658008,-0.07467504210575382
2.0,0.25,-0.06006453121548502,-97.92265260695713,-31.760125341155984
2.0,0.5,-0.009762566351575986,-87.21904744701814,-0.7578432813753933
2.0,0.75,-0.000527115512787941,136.7126261848927,-0.07228299565811414
2.0,1.0,-0.00035006502229396056,256.4334891763409,-0.07328342223573459
2.0,1.25,-0.00030338136915690136,311.28068503870264,-0.07386684522634357
2.0,1.5,-0.00028294984865170816,340.9788445881774,-0.07415998234945542
2.0,2.0,-0.00026522170474953477,370.4550762640733,-0.07443168689236379
2.0,3.0,-0.0002538750385190879,391.4815495949145,-0.07461367106334027
3.0,0.25,-0.0683351486413053,-98.17407439925564,-41.24842847858535
3.0,0.5,-0.04016927393046101,-96.89377264944261,-13.905013349610275
3.0,0.75,-0.009762566351575986,-87.21904744701814,-0.7578432813753937
3.0,1.0,-0.0007671245146774591,62.652731007158714,-0.07300728980951221
3.0,1.25,-0.00043179075482530706,188.9707478459354,-0.07257979452149632
3.0,1.5,-0.0003500650222939608,256.4334891763407,-0.07328342223573459
3.0,2.0,-0.00029493617552180926,323.0572838820966,-0.07398534459531869
3.0,3.0,-0.0002652217047495347,370.4550762640734,-0.07443168689236379
