iteration,slope,intercept,max_parameter_change,converged
1,-0.00035421450976808413,0.12769442411682114,0.13770194742194036,False
2,-0.0002719772397778647,0.11846798868544642,0.009226435431374719,False
3,-0.00026573156550613574,0.1177770362428841,0.0006909524425623148,False
4,-0.0002652601701336161,0.11772491785827607,5.2118384608029755e-05,False
5,-0.00026522460554497836,0.1177209859347401,3.931923535968607e-06,False
6,-0.0002652219224419517,0.11772068929915663,2.966355834715939e-07,False
7,-0.00026522172002077987,0.11772066692010241,2.2379054220866834e-08,False
8,-0.00026522170474953477,0.11772066523176115,1.6883412584656199e-09,True
